Course,PrerequisiteNumber,0,1,2,3,4,5,6,7,8,9
CS 101,4,MATH 220,MATH 221,MATH 231,MATH 241
CS 102,0
CS 105,1,MATH 112
CS 107,0
CS 124,1,MATH 112
CS 126,1,CS 125
CS 128,2,CS 124,CS 125
CS 173,5,CS 124,CS 125,ECE 220,MATH 220,MATH 221
CS 199,0
CS 210,1,CS 225
CS 211,1,CS 225
CS 222,2,CS 128,CS 225
CS 225,8,CS 126,CS 128,ECE 220,CS 173,MATH 213,MATH 347,MATH 412,MATH 413
CS 233,5,CS 125,CS 128,CS 173,MATH 213,CS 225
CS 240,1,CS 225
CS 241,2,CS 225,CS 233
CS 307,6,STAT 207,MATH 225,MATH 257,MATH 415,MATH 416,ASRM 406
CS 357,11,CS 101,CS 105,CS 124,CS 125,ECE 220,MATH 241,MATH 225,MATH 257,MATH 415,MATH 416,ASRM 406
CS 361,7,MATH 220,MATH 221,MATH 225,MATH 257,MATH 415,MATH 416,ASRM 406
CS 374,3,CS 173,MATH 213,CS 225
CS 397,0
CS 402,1,CS 400
CS 403,1,CS 401
CS 411,1,CS 225
CS 412,1,CS 225
CS 413,4,MATH 347,MATH 348,MATH 347,MATH 348
CS 418,7,CS 225,MATH 225,MATH 257,MATH 415,MATH 416,ASRM 406,MATH 241
CS 420,1,CS 225
CS 421,8,CS 233,CS 240,CS 374,MATH 225,MATH 257,MATH 415,MATH 416,ASRM 406
CS 422,1,CS 421
CS 425,2,CS 241,ECE 391
CS 431,2,CS 241,ECE 391
CS 433,1,CS 233
CS 437,1,CS 241
CS 438,5,CS 241,ECE 391,ECE 313,MATH 461,MATH 463
CS 439,10,CS 241,ECE 391,MATH 461,MATH 463,ECE 313,CS 241,ECE 391,MATH 461,MATH 463,ECE 313
CS 440,1,CS 225
CS 441,2,CS 225,CS 361
CS 442,9,CS 225,CS 440,CS 441,CS 446,MATH 225,MATH 257,MATH 415,MATH 416,ASRM 406
CS 444,8,MATH 225,MATH 257,MATH 415,MATH 416,ASRM 406,CS 225,CS 361,STAT 400
CS 445,3,CS 225,MATH 225,MATH 231
CS 446,10,CS 225,MATH 225,MATH 257,MATH 415,MATH 416,ASRM 406,CS 361,ECE 313,MATH 461,STAT 400
CS 450,7,CS 101,CS 125,CS 357,MATH 257,MATH 415,MATH 416,MATH 285
CS 461,2,CS 241,ECE 391
CS 464,1,CS 225
CS 466,1,CS 225
CS 468,1,CS 225
CS 473,4,CS 374,CS 361,MATH 461,STAT 400
CS 475,1,CS 374
CS 482,12,CS 101,IE 310,CS 101,IE 310,CS 101,IE 310,CS 101,IE 310,CS 101,IE 310,CS 101,IE 310
CS 484,1,CS 241
CS 491,0
CS 493,2,CS 492,CS 492
CS 494,1,CS 492
CS 497,0
CS 498,0
CS 499,0
CS 500,0
CS 510,4,CS 410,CS 412,CS 446,LING 406
CS 521,2,CS 374,CS 421
CS 526,1,CS 426
CS 533,1,CS 433
CS 534,1,CS 433
CS 555,2,CS 450,CS 457
CS 565,1,CS 465
CS 574,3,CS 473,MATH 461,STAT 400
CS 575,1,MATH 580
CS 586,2,IE 411,CS 374
CS 591,0
CS 597,0
CS 598,0
CS 599,0